index;author;title
48;"Andrade, Roberto Silva de";"Efeito da basicidade e do teor de MgO no inchamento de pelotas de minério de ferro."
49;"Passagem, Fernando Cesar Loss";"Análise crítica do ensaio de determinação da curva mestre (ASTM E 1921) aplicado a um aço da classe API 5L X80."
50;"Minatel, Rogério";"Um estudo comparativo sobre a recristalização de chapas de alumínio AA1200 e AA3003 obtidas por lingotamento contínuo (twin roll caster) e por fundição de placas (direct chill)."
51;"Santos, Cláudio Eduardo Rocha dos";"Avaliação comparativa da resistência à fadiga de contato para um aço ferramenta com microestruturas martensíticas e bainíticas."
52;"Hurtado Ferrer, Modesto";"Estudo das transformações de fase de aços TRIP ao Si-Mn microligados com Nb."
53;"Coelho, Caio Parra Dantas";"Obtenção e caracterização de nanocompósitos de poliestireno e argilas esmectíticas."
54;"Santos, Alessandra Fernandes";"Efeito da irradiação por feixe de elétrons sobre as propriedades físicas e químicas de uma resina de polipropileno."
55;"Hincapié Ramírez, Alexander";"Influência dos íons brometo e cloreto sobre a resistência à corrosão por pite de diferentes aços inoxidáveis austeníticos e ferríticos."
56;"Ferrari, Jean Vicente";"Contaminação com sal de cloreto e cromatização da superfície do aço zincado no processo não-contínuo de zincagem por imersão a quente: influência no desempenho de tintas e determinação de pré-tratamentos para pintura adequados."
57;"Araújo, Mishene Christie Pinheiro Bezerra de";"Reciclagem de fios e cabos elétricos."
58;"Candel, Estevan Helio Panisello";"Soldagem dos aços inoxidáveis superduplex UNS S32750 e UNS S32760."
59;"Eleno, Luiz Tadeu Fernandes";"Dados empíricos e ab initio no método CALPHAD: os sistemas Fe-Cr-Mo-C e Nb-Ni-Si."
60;"Silva, Robson Leandro";"Análise do processo de descarburação via VOD de aços inoxidáveis com alto teor de carbono inicial."
61;"Silva, Eduardo Cavalcante da";"A influência do recozimento descarbonetante nas propriedades magnéticas de aços para fins elétricos."
62;"Aguiar, Davi Teves de";"Modelo matemático multigrãos e multifásico para a previsão da solidificação equiaxial."
63;"Vargas, Isabella Marini";"Reciclagem de vidro laminado: utilização na fabricação de isolantes e vernizes com alta resistência à abrasão para pisos de madeira."
64;"Paulino, Wilson de Sousa";"Austenitização de aço hipoeutetóide a partir de estrutura esferoidizada e de estrutura normalizada."
65;"Ramos, Diego da Rocha";"Investigação de novas rotas de tratamento térmico em aço para rolamento."
66;"Nogueira, Alberto Eloy Anduze";"Estudo da redução carbotérmica de minérios de ferro na forma de pelotas ou misturas autorredutoras em forno rotativo."
67;"Kraszczuk, André";"Caracterização microestrutural, mecânica e tribológica de um aço AISI 440B após os tratamentos de têmpera e nitretação a plasma."
68;"Kimura, Vanessa Tiemi";"Produção e caracterização de scaffolds de diferentes espessuras obtidos por eletrofiação de nanofibra polimérica e proteína."
69;"Bizi, Claudia Maria Pena";"Efeito das condições de processamento e da adição de borracha trans-polioctenileno nas propriedades de blendas de borracha natural/estireno butadieno."
70;"Carastan, Danilo Justino";"Obtenção e caracterização reológica de nanocompósitos de polímeros estirênicos."
71;"Souza, Fabrício Mendes";"Estudo da microestrutura, da textura cristalográfica e da recristalização em chapas obtidas por lingotamento contínuo e semicontínuo da liga de alumínio AA4006."
72;"Vacca Dilavarian, Santiago Marcelo";"Modelagem matemática da transferência de calor durante a fundição centrífuga."
73;"Castro, Ricardo Hauch Ribeiro de";"Estudo da influência de aditivos na transformação de fase gama-alfa da alumina."
74;"Yamane, Luciana Harue";"Recuperação de metais de placas de circuito impresso de computadores obsoletos através de processo biohidrometalúrgico."
75;"Grillo, Felipe Fardin";"Estudo da substituição da fluorita por alumina ou sodalita e de cal por resíduo de mármore em escórias sintéticas dessulfurantes."
76;"Turetta, Ivonei";"Análise do desgaste de eletrodos de solda por resistência a ponto em função do número de pontos soldados em chapas galvanizadas."
77;"Morais, Douglas";"Avaliação da tensão superficial do PVB e da PA-6."
78;"Gonzales Fernandes, Marcos";"Obtenção de nanocompósitos de borracha natural e organoargila com variação no processo de organofilização."
79;"Monea, Rosa Maria Jazra";"Estudo da viabilidade de incorporação de borracha moída de pneus em asfaltos para impermeabilização na construção civil."
80;"Borges, Daliana Gomes";"Aproveitamento de embalagens cartonadas em compósito de polietileno de baixa densidade."
81;"Santos, Lino José Cardoso";"Avaliação do ciclo de vida e custeio do ciclo de vida de evaporadores para usinas de açúcar."
82;"Monobe, Luis Shiguenobu";"Caracterização do envelhecimento da liga 20Cr32Ni+Nb fundida por centrifugação e de seu efeito sobre o comportamento mecânico a frio."
83;"Sant'Anna, José Alex Piccolo";"Subsídios para seleção de materiais poliméricos termoplásticos."
84;"Ferreira, Dario Magno Batista";"Metodologia para simulação computacional da distribuição de temperaturas para identificar sub-regiões reaquecidas da ZAC e avaliar suas influências nas propriedades mecânicas na soldagem multipasse de aço API 5L X80."
85;"Fiori, Marco Aurelio Pereira";"Avaliação do efeito da deformação plástica sobre a permeabilidade ao hidrogênio de dois tubos API 5L X65 em meio sour."
86;"Cunha, Rodrigo Potenza da";"Caracterização mecânica e metalográfica de uma liga de alumínio empregada para cabeçote de motor flex."
87;"Camarão, Arnaldo Freitas";"Um modelo para previsão de tensões residuais em cilindros de aço temperados por indução."
88;"Paiva, Flávio Gil Alves";"Caracterização de junta soldada por atrito linear com mistura (FSW) da liga Al-Mg-Si AA 6063."
